Anio,Mes,TEMP_N,PRES_S,MIX,Area,Fecha
1993,8,0.3,-14.0,0.6,0.356,1993-08-01
1993,10,0.1,-13.5,1.0,0.0345,1993-10-01
1993,11,0.0,0.6,0.7,0.132,1993-11-01
1993,12,0.1,1.6,0.3,0.157,1993-12-01
1994,1,0.1,-1.6,0.0,0.1745,1994-01-01
1994,2,0.1,0.6,-0.2,0.177,1994-02-01
1994,5,0.4,-13.0,0.0,0.299,1994-05-01
1994,6,0.4,-10.4,0.3,0.4485,1994-06-01
1994,7,0.4,-18.0,1.0,0.135,1994-07-01
1994,10,0.7,-14.1,1.5,0.142,1994-10-01
1994,11,1.0,-7.3,1.0,0.154,1994-11-01
1995,1,1.0,-4.0,0.8,0.181,1995-01-01
1995,3,0.5,3.5,0.2,0.222,1995-03-01
1995,4,0.3,-16.2,0.1,0.249,1995-04-01
1995,5,0.1,-9.0,0.1,0.501,1995-05-01
1995,6,0.0,-1.5,0.0,0.503,1995-06-01
1995,7,-0.2,4.2,-0.3,0.194,1995-07-01
1995,8,-0.5,0.8,-0.7,0.079,1995-08-01
1995,9,-0.8,3.2,-0.9,0.132,1995-09-01
1995,10,-1.0,-1.3,-0.7,0.062,1995-10-01
1995,12,-1.0,-5.5,-0.9,0.152,1995-12-01
1996,2,-0.8,1.1,-0.8,0.161,1996-02-01
1996,3,-0.6,6.2,-0.7,0.181,1996-03-01
1996,4,-0.4,7.8,-0.8,0.135,1996-04-01
1996,5,-0.3,1.3,-0.8,0.2545,1996-05-01
1996,6,-0.3,13.9,-0.9,0.326,1996-06-01
1996,7,-0.3,6.8,-0.8,0.1485,1996-07-01
1996,8,-0.3,4.6,-0.6,0.321,1996-08-01
1996,9,-0.4,6.9,-0.3,0.191,1996-09-01
1996,10,-0.4,4.2,-0.4,0.1145,1996-10-01
1996,11,-0.4,-0.1,-0.3,0.106,1996-11-01
1996,12,-0.5,7.2,-0.5,0.118,1996-12-01
1997,1,-0.5,4.1,-0.6,0.188,1997-01-01
1997,2,-0.4,13.3,-0.7,0.19,1997-02-01
1997,7,1.6,-9.5,2.3,0.163,1997-07-01
1997,8,1.9,-19.8,2.3,0.009,1997-08-01
1997,9,2.1,-14.8,2.2,0.143,1997-09-01
1997,10,2.3,-17.8,2.1,0.0725,1997-10-01
1997,11,2.4,-15.2,2.1,0.104,1997-11-01
1998,2,1.9,-19.2,2.5,0.196,1998-02-01
1998,3,1.4,-28.5,2.3,0.168,1998-03-01
1998,6,-0.1,9.9,0.4,0.137,1998-06-01
1998,7,-0.8,14.6,-1.5,0.198,1998-07-01
1998,8,-1.1,9.8,-1.8,0.203,1998-08-01
1998,9,-1.3,11.1,-1.4,0.056,1998-09-01
1998,11,-1.5,12.5,-1.3,0.162,1998-11-01
1998,12,-1.6,13.3,-1.3,0.182,1998-12-01
1999,1,-1.5,15.6,-1.3,0.186,1999-01-01
1999,2,-1.3,8.6,-1.2,0.1525,1999-02-01
1999,4,-1.0,18.5,-1.2,0.185,1999-04-01
1999,5,-1.0,1.3,-1.3,0.286,1999-05-01
1999,6,-1.0,1.0,-1.3,0.257,1999-06-01
1999,7,-1.1,4.8,-1.2,0.199,1999-07-01
1999,8,-1.1,2.1,-1.0,0.225,1999-08-01
1999,9,-1.2,-0.4,-1.2,0.114,1999-09-01
1999,12,-1.7,12.8,-1.4,0.134,1999-12-01
2000,2,-1.4,12.9,-1.3,0.265,2000-02-01
2000,3,-1.1,9.4,-1.4,0.255,2000-03-01
2000,4,-0.8,16.8,-0.9,0.223,2000-04-01
2000,5,-0.7,3.6,-0.9,0.16,2000-05-01
2000,6,-0.6,-5.5,-1.2,0.264,2000-06-01
2000,7,-0.6,-3.7,-0.6,0.1175,2000-07-01
2000,8,-0.5,5.3,-0.1,0.154,2000-08-01
2000,9,-0.5,9.9,-0.3,0.068,2000-09-01
2000,10,-0.6,9.7,-0.5,0.1154999999999999,2000-10-01
2000,11,-0.7,22.4,-0.9,0.129,2000-11-01
2001,1,-0.7,8.4,-0.8,0.2865,2001-01-01
2001,2,-0.5,11.9,-0.9,0.437,2001-02-01
2001,3,-0.4,6.7,-0.8,0.506,2001-03-01
2001,4,-0.3,0.3,-0.6,0.24,2001-04-01
2001,5,-0.3,-9.0,-0.5,0.169,2001-05-01
2001,6,-0.1,1.8,-0.7,0.2325,2001-06-01
2001,7,-0.1,-3.7,0.0,0.177,2001-07-01
2001,8,-0.1,-8.2,0.4,0.19,2001-08-01
2001,9,-0.2,1.4,-0.1,0.109,2001-09-01
2001,10,-0.3,-1.9,-0.2,0.126,2001-10-01
2001,11,-0.3,7.2,-0.3,0.158,2001-11-01
2002,1,-0.1,2.7,0.1,0.21,2002-01-01
2002,2,0.0,7.7,-0.3,0.228,2002-02-01
2003,7,0.1,2.9,0.0,0.223,2003-07-01
2003,8,0.2,-1.8,0.1,0.2635,2003-08-01
2003,9,0.3,-2.2,0.2,0.145,2003-09-01
2003,10,0.3,-1.9,0.3,0.15,2003-10-01
2003,11,0.4,-3.4,0.3,0.1805,2003-11-01
2003,12,0.4,9.3,0.1,0.1505,2003-12-01
2004,1,0.4,-11.6,0.2,0.201,2004-01-01
2004,2,0.3,9.1,0.0,0.267,2004-02-01
2004,3,0.2,0.2,-0.4,0.2555,2004-03-01
2004,4,0.2,-15.4,-0.2,0.3015,2004-04-01
2004,5,0.2,13.1,-0.5,0.182,2004-05-01
2004,6,0.3,-15.2,-0.4,0.25,2004-06-01
2004,7,0.5,-6.9,0.5,0.212,2004-07-01
2004,9,0.7,-2.8,0.6,0.161,2004-09-01
2004,10,0.7,-3.7,0.4,0.145,2004-10-01
2004,11,0.7,-8.6,0.6,0.1535,2004-11-01
2004,12,0.7,-8.0,0.5,0.177,2004-12-01
2005,1,0.6,1.8,0.1,0.374,2005-01-01
2005,2,0.6,-28.6,0.6,0.4705,2005-02-01
2005,3,0.4,0.2,0.8,0.497,2005-03-01
2005,4,0.4,-11.2,0.1,0.332,2005-04-01
2005,5,0.3,-14.5,0.2,0.292,2005-05-01
2005,6,0.1,2.6,0.2,0.194,2005-06-01
2005,7,-0.1,0.9,0.0,0.3404999999999999,2005-07-01
2005,8,-0.1,-6.9,0.0,0.1654999999999999,2005-08-01
2005,9,-0.1,3.9,0.0,0.112,2005-09-01
2005,10,-0.3,10.9,-0.7,0.1315,2005-10-01
2005,11,-0.6,-2.0,-0.7,0.17,2005-11-01
2006,2,-0.8,0.1,-0.5,0.282,2006-02-01
2006,3,-0.6,13.8,-0.6,0.278,2006-03-01
2006,4,-0.4,14.4,-0.8,0.4014999999999999,2006-04-01
2006,5,-0.1,-9.8,-0.4,0.56,2006-05-01
2006,6,0.0,-6.3,-0.2,0.4305,2006-06-01
2006,7,0.1,-7.6,0.2,0.2085,2006-07-01
2006,8,0.3,-15.9,0.6,0.234,2006-08-01
2006,9,0.5,-5.8,0.7,0.2,2006-09-01
2006,10,0.8,-16.0,0.8,0.138,2006-10-01
2006,11,0.9,-1.4,1.0,0.181,2006-11-01
2006,12,0.9,-3.5,0.6,0.2125,2006-12-01
2007,1,0.7,-7.8,0.6,0.214,2007-01-01
2007,2,0.2,-2.7,0.4,0.2185,2007-02-01
2007,3,-0.1,-1.4,-0.2,0.2815,2007-03-01
2007,4,-0.3,-3.0,-0.3,0.364,2007-04-01
2007,5,-0.4,-2.7,-0.4,0.175,2007-05-01
2007,7,-0.6,-5.0,-0.7,0.207,2007-07-01
2007,8,-0.8,2.7,-0.9,0.199,2007-08-01
2007,9,-1.1,1.4,-1.1,0.1365,2007-09-01
2007,10,-1.3,5.4,-1.1,0.126,2007-10-01
2008,1,-1.6,14.1,-1.1,0.248,2008-01-01
2008,2,-1.5,21.3,-1.3,0.263,2008-02-01
2008,3,-1.3,12.2,-1.5,0.283,2008-03-01
2008,4,-1.0,4.5,-1.1,0.469,2008-04-01
2008,10,-0.4,13.4,-1.1,0.147,2008-10-01
2008,11,-0.6,17.1,-1.0,0.146,2008-11-01
2008,12,-0.7,13.3,-1.0,0.1485,2008-12-01
2009,1,-0.8,9.4,-1.0,0.16,2009-01-01
2009,2,-0.8,14.8,-0.8,0.203,2009-02-01
2009,3,-0.6,0.2,-0.9,0.229,2009-03-01
2009,4,-0.3,8.6,-0.8,0.396,2009-04-01
2009,5,0.0,-7.4,-0.7,0.507,2009-05-01
2009,7,0.5,1.6,0.6,0.183,2009-07-01
2009,8,0.6,-5.0,0.6,0.194,2009-08-01
2009,9,0.7,3.9,0.4,0.1565,2009-09-01
